"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 30, 2018","6,274.54","6,197.87","6,274.54","6,164.83","20.58B","1.29%"
"Dec 23, 2018","6,194.50","6,126.65","6,212.12","6,094.41","18.87B","0.50%"
"Dec 16, 2018","6,163.60","6,163.63","6,176.09","6,014.80","32.95B","-0.10%"
"Dec 09, 2018","6,169.84","6,103.10","6,186.05","6,069.16","35.19B","0.71%"
"Dec 02, 2018","6,126.36","6,118.06","6,157.30","6,064.83","34.99B","1.16%"
"Nov 25, 2018","6,056.12","5,997.73","6,117.19","5,990.35","38.56B","0.83%"
"Nov 18, 2018","6,006.20","6,028.34","6,036.99","5,908.00","25.96B","-0.10%"
"Nov 11, 2018","6,012.35","5,865.74","6,058.82","5,747.53","30.85B","2.35%"
"Nov 04, 2018","5,874.15","5,895.24","5,996.84","5,859.09","30.80B","-0.54%"
"Oct 28, 2018","5,906.29","5,788.93","5,906.29","5,733.24","30.95B","2.10%"
"Oct 21, 2018","5,784.92","5,841.42","5,869.65","5,623.84","30.58B","-0.90%"
"Oct 14, 2018","5,837.29","5,786.66","5,868.62","5,719.51","32.09B","1.40%"
"Oct 07, 2018","5,756.49","5,728.70","5,832.93","5,669.72","35.73B","0.43%"
"Sep 30, 2018","5,731.94","5,950.86","5,982.06","5,706.40","37.64B","-4.09%"
"Sep 23, 2018","5,976.55","5,958.57","5,976.55","5,850.75","33.21B","0.32%"
"Sep 16, 2018","5,957.74","5,908.43","5,975.17","5,781.29","35.73B","0.45%"
"Sep 09, 2018","5,931.28","5,835.38","5,931.28","5,776.02","23.83B","1.36%"
"Sep 02, 2018","5,851.47","6,025.41","6,026.91","5,621.60","28.23B","-2.77%"
"Aug 26, 2018","6,018.46","5,993.76","6,086.94","5,940.65","30.58B","0.83%"
"Aug 19, 2018","5,968.75","5,833.54","5,993.60","5,833.54","21.71B","3.20%"
"Aug 12, 2018","5,783.80","6,029.47","6,034.56","5,689.94","23.34B","-4.83%"
"Aug 05, 2018","6,077.17","6,025.61","6,117.29","6,025.43","30.64B","1.16%"
"Jul 29, 2018","6,007.54","5,998.10","6,055.07","5,910.53","35.36B","0.31%"
"Jul 22, 2018","5,989.14","5,886.52","5,992.05","5,884.98","34.34B","1.98%"
"Jul 15, 2018","5,872.78","5,941.91","5,956.80","5,840.94","28.56B","-1.20%"
"Jul 08, 2018","5,944.07","5,719.86","5,961.34","5,716.39","28.07B","4.38%"
"Jul 01, 2018","5,694.91","5,828.49","5,832.22","5,557.56","25.22B","-1.80%"
"Jun 24, 2018","5,799.24","5,850.31","5,891.48","5,661.01","29.50B","-0.39%"
"Jun 17, 2018","5,821.81","5,941.79","5,947.78","5,787.68","17.26B","-2.87%"
"Jun 10, 2018","5,993.63","5,993.63","5,993.63","5,993.63","-","0.00%"
"Jun 03, 2018","5,993.63","6,004.12","6,116.43","5,987.33","33.25B","0.17%"
"May 27, 2018","5,983.59","5,979.62","6,095.83","5,934.80","23.57B","0.13%"
"May 20, 2018","5,975.74","5,779.24","6,003.24","5,719.48","32.20B","3.33%"
"May 13, 2018","5,783.31","5,933.46","5,947.15","5,738.58","30.58B","-2.91%"
"May 06, 2018","5,956.83","5,814.96","6,023.04","5,716.65","24.37B","2.84%"
"Apr 29, 2018","5,792.35","5,937.07","6,012.94","5,768.38","24.05B","-2.14%"
"Apr 22, 2018","5,919.24","6,328.65","6,335.45","5,885.34","30.19B","-6.60%"
"Apr 15, 2018","6,337.69","6,279.63","6,360.32","6,259.59","36.43B","1.07%"
"Apr 08, 2018","6,270.33","6,179.38","6,380.35","6,178.18","32.18B","1.54%"
"Apr 01, 2018","6,175.05","6,194.51","6,250.14","6,137.16","31.52B","-0.23%"
"Mar 25, 2018","6,188.99","6,178.73","6,274.30","6,101.77","25.36B","-0.35%"
"Mar 18, 2018","6,210.70","6,315.33","6,351.31","6,085.20","40.02B","-1.49%"
"Mar 11, 2018","6,304.95","6,459.32","6,501.13","6,236.24","41.55B","-2.00%"
"Mar 04, 2018","6,433.32","6,594.52","6,607.16","6,346.66","42.51B","-2.26%"
"Feb 25, 2018","6,582.32","6,615.37","6,630.13","6,554.67","47.66B","-0.57%"
"Feb 18, 2018","6,619.80","6,610.73","6,693.47","6,586.31","60.61B","0.43%"
"Feb 11, 2018","6,591.58","6,508.05","6,624.63","6,498.69","38.42B","1.32%"
"Feb 04, 2018","6,505.52","6,556.68","6,612.45","6,426.76","55.57B","-1.86%"
"Jan 28, 2018","6,628.82","6,672.99","6,686.35","6,522.66","52.09B","-0.48%"
"Jan 21, 2018","6,660.62","6,495.38","6,677.37","6,484.12","51.37B","2.61%"
"Jan 14, 2018","6,490.90","6,379.07","6,490.90","6,361.61","42.43B","1.90%"
"Jan 07, 2018","6,370.06","6,354.36","6,412.03","6,344.04","41.01B","0.26%"
"Dec 31, 2017","6,353.74","6,366.08","6,445.91","6,220.69","23.31B","-0.03%"
"Dec 24, 2017","6,355.65","6,214.26","6,368.32","6,214.26","16.97B","2.16%"
"Dec 17, 2017","6,221.01","6,111.68","6,221.01","6,080.15","26.44B","1.66%"
"Dec 10, 2017","6,119.42","6,043.35","6,119.42","6,012.98","29.16B","1.47%"
"Dec 03, 2017","6,030.96","6,014.06","6,044.34","5,979.48","28.74B","1.32%"
"Nov 26, 2017","5,952.14","6,059.71","6,073.90","5,952.14","28.66B","-1.90%"
"Nov 19, 2017","6,067.14","6,066.75","6,098.78","6,008.69","30.01B","0.25%"
"Nov 12, 2017","6,051.73","6,020.75","6,092.35","5,972.31","29.84B","0.50%"
"Nov 05, 2017","6,021.83","6,031.52","6,071.54","6,020.45","29.44B","-0.29%"
"Oct 29, 2017","6,039.54","5,990.19","6,082.23","5,969.21","27.67B","1.08%"
"Oct 22, 2017","5,975.28","5,946.15","6,042.45","5,945.33","34.10B","0.77%"
"Oct 15, 2017","5,929.55","5,927.99","5,961.51","5,903.62","34.29B","0.09%"
"Oct 08, 2017","5,924.12","5,906.72","5,947.86","5,860.76","28.52B","0.32%"
"Oct 01, 2017","5,905.38","5,917.75","5,967.12","5,894.24","27.86B","0.08%"
"Sep 24, 2017","5,900.85","5,910.16","5,918.09","5,839.59","27.83B","-0.18%"
"Sep 17, 2017","5,911.71","5,875.11","5,928.79","5,851.23","22.60B","0.67%"
"Sep 10, 2017","5,872.39","5,863.42","5,884.15","5,831.18","32.45B","0.26%"
"Sep 03, 2017","5,857.12","5,858.21","5,866.99","5,774.31","28.29B","-0.12%"
"Aug 27, 2017","5,864.06","5,904.37","5,914.48","5,845.27","26.77B","-0.87%"
"Aug 20, 2017","5,915.36","5,893.42","5,916.82","5,855.24","33.99B","0.37%"
"Aug 13, 2017","5,893.84","5,780.70","5,912.12","5,780.70","22.22B","2.21%"
"Aug 06, 2017","5,766.14","5,780.89","5,833.86","5,749.29","26.53B","-0.20%"
"Jul 30, 2017","5,777.48","5,820.01","5,858.93","5,769.40","26.62B","-0.92%"
"Jul 23, 2017","5,831.03","5,760.08","5,831.64","5,756.51","27.46B","1.14%"
"Jul 16, 2017","5,765.42","5,831.02","5,841.28","5,760.96","23.89B","-1.14%"
"Jul 09, 2017","5,831.80","5,814.79","5,843.18","5,765.36","20.71B","0.29%"
"Jul 02, 2017","5,814.79","5,846.60","5,910.24","5,808.35","21.45B","-0.26%"
