Date,Price,Open,High,Low,Vol.,Change %
8/13/2019,6210.96,6239.37,6239.42,6199.94,10.61B,-0.63%
8/12/2019,6250.6,6300.67,6309.1,6245.28,9.82B,-0.50%
8/9/2019,6282.13,6300.09,6319.44,6280.67,10.54B,0.12%
8/8/2019,6274.67,6224.9,6281.1,6224.9,11.23B,1.14%
8/7/2019,6204.19,6155.83,6221.66,6153.64,11.93B,1.38%
8/6/2019,6119.47,6105.09,6157.76,6022.6,11.72B,-0.91%
8/5/2019,6175.7,6311.16,6315.06,6175.7,12.62B,-2.59%
8/2/2019,6340.18,6341.12,6353.11,6317.27,9.62B,-0.65%
8/1/2019,6381.54,6385.26,6404.58,6372.7,11.10B,-0.14%
7/31/2019,6390.51,6362.11,6390.51,6349,11.77B,0.21%
7/30/2019,6377,6317.57,6377,6317.04,13.14B,1.24%
7/29/2019,6299.03,6336.85,6349.37,6283.6,13.09B,-0.41%
7/26/2019,6325.24,6379.2,6385.59,6314.41,12.61B,-1.19%
7/25/2019,6401.36,6392.39,6412.72,6386.29,12.84B,0.26%
7/24/2019,6384.99,6413.32,6419.22,6380.01,15.40B,-0.29%
7/23/2019,6403.81,6443.71,6454.09,6396.68,13.32B,-0.46%
7/22/2019,6433.55,6461.41,6468.25,6420.35,12.97B,-0.36%
7/19/2019,6456.54,6417.44,6456.54,6417.44,13.37B,0.83%
7/18/2019,6403.29,6385.06,6407.26,6375.62,15.54B,0.14%
7/17/2019,6394.61,6395.46,6403.5,6377.5,14.65B,-0.11%
7/16/2019,6401.88,6414.73,6428.27,6389.4,12.41B,-0.25%
7/15/2019,6418.23,6408.31,6439.19,6405.45,14.26B,0.70%
7/12/2019,6373.35,6414.2,6425.32,6369.5,13.69B,-0.68%
7/11/2019,6417.07,6424.63,6434.91,6397.22,12.69B,0.10%
7/10/2019,6410.68,6393.19,6412.82,6393.19,12.02B,0.35%
7/9/2019,6388.32,6351.48,6388.32,6351.42,12.44B,0.57%
7/8/2019,6351.83,6360.21,6367.36,6324.72,11.01B,-0.34%
7/5/2019,6373.48,6373.32,6386.64,6362.93,13.65B,-0.04%
7/4/2019,6375.97,6364.07,6385.13,6359.41,14.32B,0.21%
7/3/2019,6362.62,6362.96,6385.37,6334.75,11.87B,-0.35%
7/2/2019,6384.9,6388.22,6394.45,6365.37,13.28B,0.08%
7/1/2019,6379.69,6381.18,6395.63,6369.19,13.23B,0.33%
6/28/2019,6358.63,6367.02,6377.35,6351.51,10.95B,0.09%
6/27/2019,6352.71,6324.69,6357.93,6320.09,10.27B,0.67%
6/26/2019,6310.49,6323.81,6334.18,6303.35,12.10B,-0.16%
6/25/2019,6320.44,6312.1,6327.98,6308,10.73B,0.51%
6/24/2019,6288.47,6307.93,6320.53,6280.22,11.75B,-0.43%
6/21/2019,6315.44,6343.48,6352.53,6269.69,11.52B,-0.32%
6/20/2019,6335.7,6346.01,6357.46,6311.25,9.64B,-0.06%
6/19/2019,6339.26,6289.45,6339.26,6289.45,10.78B,1.31%
6/18/2019,6257.33,6195.13,6257.33,6195.13,9.73B,1.08%
6/17/2019,6190.52,6259.53,6263.5,6190.52,9.75B,-0.96%
6/14/2019,6250.27,6278.03,6294.65,6234.99,8.88B,-0.36%
6/13/2019,6273.08,6282.61,6284.46,6250.12,9.86B,-0.05%
6/12/2019,6276.18,6270.35,6296.82,6257.44,9.31B,-0.47%
6/11/2019,6305.99,6286.8,6310,6255.26,8.91B,0.26%
6/10/2019,6289.61,6277.29,6334.65,6276.28,9.77B,1.30%
5/31/2019,6209.12,6110.52,6209.12,6110.48,9.79B,1.72%
5/29/2019,6104.11,6059.53,6112.43,6054.57,8.15B,1.18%
5/28/2019,6033.14,6101.84,6118.91,6033.14,11.09B,-1.08%
5/27/2019,6098.97,6056.41,6114.53,6054.77,8.16B,0.69%
5/24/2019,6057.35,6042.57,6080.19,6037.08,9.78B,0.41%
5/23/2019,6032.7,5944.03,6044.57,5942.17,8.25B,1.57%
5/22/2019,5939.64,5948.38,5966.8,5918.9,7.60B,-0.20%
5/21/2019,5951.37,5925.42,5996.54,5925.42,9.16B,0.75%
5/20/2019,5907.12,5822.47,5930.15,5767.4,9.13B,1.38%
5/17/2019,5826.87,5930.27,5936.97,5826.87,9.13B,-1.17%
5/16/2019,5895.74,5969.86,6009.63,5889.56,9.35B,-1.42%
5/15/2019,5980.89,6091.64,6107.44,5980.89,9.30B,-1.49%
5/14/2019,6071.2,6081.4,6101.09,6033.62,10.58B,-1.05%
5/13/2019,6135.4,6225.4,6238.26,6135.4,7.53B,-1.19%
5/10/2019,6209.12,6203.1,6232.66,6149.22,8.59B,0.17%
5/9/2019,6198.8,6242.18,6259.63,6195.39,9.50B,-1.14%
5/8/2019,6270.2,6260.7,6270.88,6231.36,9.49B,-0.43%
5/7/2019,6297.32,6271.96,6310.94,6268.32,10.30B,0.65%
5/6/2019,6256.35,6254.81,6263.09,6207.62,7.90B,-1.00%
5/3/2019,6319.46,6366.75,6367.62,6261.25,9.59B,-0.86%
5/2/2019,6374.42,6458.12,6465.77,6363.04,10.84B,-1.25%
4/30/2019,6455.35,6437.98,6457.82,6428.25,9.76B,0.46%
4/29/2019,6425.9,6388.38,6428.34,6376.7,9.05B,0.39%
4/26/2019,6401.08,6349.92,6401.08,6321.66,8.74B,0.44%
4/25/2019,6372.79,6423.84,6431.59,6353.28,9.88B,-1.16%
4/24/2019,6447.89,6460.27,6472.53,6433.97,9.89B,-0.23%
4/23/2019,6462.82,6420.16,6482.82,6415.45,10.92B,0.75%
4/22/2019,6414.74,6511.09,6516.24,6410.04,9.79B,-1.42%
4/18/2019,6507.22,6568.85,6636.33,6487.23,11.64B,0.40%
4/16/2019,6481.54,6440.72,6485.12,6438.4,11.74B,0.72%
4/15/2019,6435.15,6426.9,6442.03,6415.11,9.21B,0.46%
4/12/2019,6405.87,6395.07,6422.27,6394.91,11.93B,-0.07%
4/11/2019,6410.17,6468.26,6472.73,6410.17,10.15B,-1.05%
4/10/2019,6478.33,6476.78,6487.76,6456.67,8.84B,-0.09%
4/9/2019,6484.35,6434.62,6484.39,6429.53,10.32B,0.91%
4/8/2019,6425.73,6480.18,6484.15,6390.71,10.48B,-0.75%
4/5/2019,6474.02,6501.1,6506.8,6473.95,10.40B,-0.32%
