Date,Price,Open,High,Low,Vol.,Change %
8/1/2019,6199.22,6399.90,6403.57,6059.87,-,-2.99%
7/1/2019,6390.51,6381.18,6468.25,6283.60,303.57B,0.50%
6/1/2019,6358.63,6277.29,6377.35,6190.52,153.94B,2.41%
5/1/2019,6209.12,6458.12,6465.77,5767.40,193.22B,-3.81%
4/1/2019,6455.35,6485.72,6636.33,6321.66,193.43B,-0.21%
3/1/2019,6468.76,6468.62,6537.23,6337.87,198.76B,0.39%
2/1/2019,6443.35,6552.06,6581.73,6374.90,195.52B,-1.37%
1/1/2019,6532.97,6197.87,6544.48,6164.83,202.72B,5.46%
12/1/2018,6194.50,6118.06,6212.12,6014.80,122.01B,2.28%
11/1/2018,6056.12,5855.22,6117.19,5747.53,139.19B,3.85%
10/1/2018,5831.65,5950.86,5982.06,5623.84,153.96B,-2.42%
9/1/2018,5976.55,6025.41,6026.91,5621.60,121.00B,-0.70%
8/1/2018,6018.46,5952.94,6117.29,5689.94,125.76B,1.38%
7/1/2018,5936.44,5828.49,6027.94,5557.56,132.06B,2.37%
6/1/2018,5799.24,6004.12,6116.43,5661.01,80.01B,-3.08%
5/1/2018,5983.59,5999.36,6095.83,5716.65,128.85B,-0.18%
4/1/2018,5994.60,6194.51,6380.35,5885.34,136.24B,-3.14%
3/1/2018,6188.99,6605.31,6630.13,6085.20,166.91B,-6.19%
2/1/2018,6597.22,6625.35,6693.47,6426.76,205.58B,-0.13%
1/1/2018,6605.63,6366.08,6686.35,6220.69,189.42B,3.93%
12/1/2017,6355.65,6014.06,6368.32,5979.48,101.31B,6.78%
11/1/2017,5952.14,6017.04,6098.78,5952.14,134.02B,-0.89%
10/1/2017,6005.78,5917.75,6042.45,5860.76,136.39B,1.78%
9/1/2017,5900.85,5858.21,5928.79,5774.31,111.18B,0.63%
8/1/2017,5864.06,5853.51,5916.82,5749.29,130.70B,0.40%
7/1/2017,5840.94,5846.60,5910.24,5756.51,98.94B,0.19%
6/1/2017,5829.71,5749.42,5831.34,5668.72,74.57B,1.60%
5/1/2017,5738.15,5703.87,5874.44,5577.52,132.92B,0.93%
4/1/2017,5685.30,5583.35,5726.53,5577.49,126.78B,2.10%
3/1/2017,5568.11,5389.17,5606.02,5350.91,182.09B,3.37%
2/1/2017,5386.69,5319.94,5418.38,5317.49,331.63B,1.75%
1/1/2017,5294.10,5290.39,5360.06,5228.29,252.89B,-0.05%
12/1/2016,5296.71,5168.63,5334.79,5022.85,127.40B,2.87%
11/1/2016,5148.91,5430.74,5491.70,5043.35,198.64B,-5.05%
10/1/2016,5422.54,5403.86,5482.84,5332.08,208.10B,1.08%
9/1/2016,5364.80,5368.52,5474.31,5128.17,99.83B,-0.40%
8/1/2016,5386.08,5280.21,5476.22,5279.59,130.28B,3.26%
7/1/2016,5215.99,5027.62,5334.12,4971.58,82.08B,3.97%
6/1/2016,5016.65,4801.85,5033.24,4754.36,102.55B,4.58%
5/1/2016,4796.87,4828.96,4845.12,4690.56,66.16B,-0.86%
4/1/2016,4838.58,4843.39,4920.40,4766.81,86.92B,-0.14%
